COMPANY,TYPE,TERM,INITIAL RATE,THE OVERALL COST FOR COMPARISON IS,PRODUCT FEE,LOO VALUEAN T (LTV)
COVENTRY BS,First Time Buyer Bank Base Rate Flexx Tracker +0.60%,2 years,4.85%,6.7 APRC,£999.00,65%
COVENTRY BS,First Time Buyer Bank Base Rate Flexx Tracker +0.65%,2 years,4.90%,6.7 APRC,£999.00,75%
COVENTRY BS,First Time Buyer Bank Base Rate Flexx Tracker +0.90%,2 years,5.15%,6.8 APRC,£999.00,85%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.21%,6.6 APRC,£999.00,65%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.28%,6.6 APRC,£999.00,75%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.33%,6.6 APRC,£999.00,80%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.57%,6.7 APRC,£999.00,85%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.58%,6.6 APRC,£0.00,65%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.63%,6.6 APRC,£0.00,75%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.68%,6.6 APRC,£0.00,80%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.95%,6.8 APRC,£999.00,90%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,4.98%,6.7 APRC,£0.00,85%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,5.26%,6.8 APRC,£0.00,90%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,5.30%,6.8 APRC,£999.00,95%
COVENTRY BS,First Time Buyer Fixed Rate,2 years,5.61%,5.9 APRC,£0.00,95%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.48%,6.3 APRC,£0.00,65%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.11%,6.3 APRC,£999.00,65%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.18%,6.1 APRC,£999.00,75%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.23%,6.3 APRC,£999.00,80%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.52%,6.4 APRC,£999.00,85%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.53%,6.4 APRC,£0.00,75%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.63%,6.4 APRC,£0.00,80%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.85%,6.5 APRC,£999.00,90%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,4.88%,6.5 APRC,£0.00,85%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,5.20%,6.7 APRC,£999.00,95%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,5.16%,6.6 APRC,£0.00,90%
COVENTRY BS,First Time Buyer Fixed Rate,3 years,5.51%,6.7 APRC,£0.00,95%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.11%,5.8 APRC,£999.00,80%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.01%,5.8 APRC,£999.00,65%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.06%,5.8 APRC,£999.00,75%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.18%,5.8 APRC,£0.00,65%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.23%,5.9 APRC,£0.00,75%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.28%,5.9 APRC,£0.00,80%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.47%,6.0 APRC,£999.00,85%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.64%,6.1 APRC,£0.00,85%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.79%,6.2 APRC,£999.00,90%
COVENTRY BS,First Time Buyer Offset Fixed Rate,5 years,4.86%,6.2 APRC,£999.00,75%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,4.71%,6.1 APRC,£0.00,90%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,5.09%,6.3 APRC,£999.00,95%
COVENTRY BS,First Time Buyer Fixed Rate,5 years,5.06%,6.3 APRC,£0.00,95%
HSBC,First Time Buyer Fixed Fee Saver,2 years,4.63%,6.7 APRC,£0.00,60%
HSBC,First Time Buyer Fixed Standard,2 years,4.38%,6.8 APRC,£999.00,60%
HSBC,First Time Buyer Fixed Fee Saver,3 years,4.59%,6.5 APRC,£0.00,60%
HSBC,First Time Buyer Fixed Standard,3 years,4.28%,6.5 APRC,£999.00,60%
HSBC,First Time Buyer Fixed Fee Saver,5 years,4.19%,6.0 APRC,£0.00,60%
HSBC,First Time Buyer Fixed Standard,5 years,3.98%,5.9 APRC,£999.00,60%
HSBC,First Time Buyer Fixed Premier Standard,5 years,3.95%,6.0 APRC,£1499.00,60%
HSBC,First Time Buyer Tracker Standard,2 years,4.54%,6.8 APRC,£999.00,60%
HSBC,First Time Buyer Fixed Fee Saver,2 years,4.67%,6.7 APRC,£0.00,70%
HSBC,First Time Buyer Fixed Standard,2 years,4.43%,6.8 APRC,£999.00,70%
